El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 0.00 3.00 1.00 2.00 1868.00 1.68 0.00 26.82 29.937 0.101 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 4.00 2.00 3.00 3200.85 1.19 0.00 48.46 49.475 0.097 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 5.00 3.00 4.00 3178.88 1.48 0.00 -26.29 34.557 0.068 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 6.00 4.00 5.00 4218.51 1.76 0.00 11.00 53.100 0.079 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 7.00 5.00 6.00 3975.71 2.14 0.00 -19.99 62.678 0.099 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 8.00 6.00 7.00 4372.23 1.85 0.00 33.01 58.096 0.083 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 9.00 7.00 8.00 4310.05 1.84 0.00 3.87 48.956 0.071 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 10.00 8.00 9.00 4528.86 2.10 0.00 -19.37 69.873 0.097 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 11.00 9.00 10.00 3990.23 1.09 0.00 11.67 71.166 0.112 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 12.00 10.00 11.00 3800.69 1.52 0.00 17.01 55.098 0.091 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 13.00 11.00 12.00 4302.00 1.15 0.00 -20.90 86.539 0.126 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 14.00 12.00 13.00 3123.82 1.14 0.00 8.28 64.082 0.129 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 15.00 13.00 14.00 4192.77 0.61 0.00 -4.32 75.164 0.113 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 16.00 14.00 15.00 4100.45 1.15 0.00 5.86 66.965 0.103 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 17.00 15.00 16.00 4081.57 0.94 0.00 -0.76 65.246 0.100 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 18.00 16.00 17.00 5029.71 1.32 0.00 22.82 68.949 0.086 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 19.00 17.00 18.00 5045.90 1.27 0.00 23.39 62.330 0.078 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 20.00 18.00 19.00 5819.68 0.46 0.00 -17.65 66.080 0.071 0.00 0.00 0.00 0.00
